market,r2,mape,duration
FR,0.8253836306891305,4.936646871126578,5.013836860656738
DE,0.8014608501456517,4.212004616315571,5.465388059616089
UK,-0.03578142136435836,6.884269037985353,4.326775074005127
IT,0.6830459845846262,7.990992778664322,5.235907077789307
ES,0.7695902776610513,6.965617478813408,4.6678619384765625
NL,0.3678860873121754,5.265496235929745,4.548253059387207
BE,0.8205177509249678,5.391855800513815,6.6991400718688965
PL,0.8327514372971039,6.217542842353347,3.6898841857910156
SE,0.11193928213058946,10.274614915729758,5.055052757263184
NO,0.2859674692698786,8.73139673427763,4.297818183898926
